fname,xtl,ytl,xbr,ybr,plate
43.jpg,1813,551,2209,658,SK321LN
44.jpg,2073,393,2467,512,NEL28529
45.jpg,1879,570,2235,673,SI87877
46.jpg,1930,287,2307,407,SO8910X
47.jpg,1696,575,2087,676,SBI01M5
48.jpg,1809,366,2224,493,SO2048H
49.jpg,1610,557,2020,658,SC5423W
5.jpg,1765,115,2495,345,SRB9NP9
50.jpg,1667,373,2037,471,SO7183K
51.jpg,1645,363,2078,486,SM3726E
52.jpg,1895,427,2268,533,SJ99531
53.jpg,1952,400,2329,526,STACU30
54.jpg,1816,373,2192,484,SZY71327
55.jpg,1937,547,2290,662,SK3694W
56.jpg,1860,403,2241,510,KR466WV
57.jpg,2087,392,2415,492,SK894RS
58.jpg,2189,470,2510,547,STA8582C
59.jpg,2217,474,2518,551,SZ9991L
6.jpg,1814,124,2619,393,SLU1VG6
60.jpg,2252,403,2587,509,SK499VJ
61.jpg,2252,460,2563,568,SK654TK
62.jpg,2195,545,2516,642,SPS97077
63.jpg,2053,427,2410,540,STA4470C
64.jpg,2181,457,2485,550,SBE2446G
65.jpg,2134,441,2438,538,SGLVN42
66.jpg,2249,441,2558,526,STA2316F
67.jpg,2137,443,2447,526,SZA1477F
68.jpg,2171,448,2483,543,STA02220
69.jpg,2130,437,2440,523,SK340TX
7.jpg,1492,218,2128,450,SJ7912C
70.jpg,2327,438,2665,554,SG7428J
71.jpg,2129,452,2477,564,SD5421J
72.jpg,2468,469,2786,557,SL84590
73.jpg,2019,416,2340,508,STA43629
74.jpg,2059,472,2409,575,KMI66V3
75.jpg,2213,492,2532,579,SK239WE
76.jpg,2327,424,2619,518,ST7803U
77.jpg,2306,436,2649,547,SG986CN
78.jpg,2137,451,2445,536,SL3985H
79.jpg,2195,477,2511,567,STA7824C
8.jpg,1394,214,2241,480,ST8936T
80.jpg,2200,454,2525,531,SR5635N
81.jpg,2421,415,2841,528,SD7918E
82.jpg,2096,433,2418,531,SO6058G
83.jpg,2069,460,2400,546,SK971JF
84.jpg,2066,486,2400,585,SGL03210
85.jpg,2120,457,2445,552,SCI61825
86.jpg,2221,457,2582,555,SK776ST
87.jpg,2019,436,2343,516,SG3707Y
88.jpg,2144,445,2471,519,SL7061H
89.jpg,2290,436,2588,528,SM3106E
9.jpg,2597,275,3091,391,SM5552E
90.jpg,2171,424,2501,513,SM3726E
91.jpg,2069,489,2394,576,KOS0163G
92.jpg,2120,454,2457,543,SK192TF
93.jpg,2543,436,2847,528,SMI98X8
94.jpg,2364,439,2686,531,SB262FF
95.jpg,1296,624,1598,716,SBL66094
96.jpg,1651,622,1935,703,SBL66094
97.jpg,983,678,1357,791,CB441ML
98.jpg,1642,680,1908,757,SZA92043
99.jpg,1509,667,1840,755,CB441ML
